"","type"
"580","PARTICIPATES_GpPW"
"581","PARTICIPATES_GpPW"
"582","PARTICIPATES_GpPW"
"583","PARTICIPATES_GpPW"
"584","PARTICIPATES_GpPW"
"585","PARTICIPATES_GpPW"
"586","PARTICIPATES_GpPW"
"587","PARTICIPATES_GpPW"
"588","PARTICIPATES_GpPW"
"589","PARTICIPATES_GpPW"
"590","PARTICIPATES_GpPW"
"591","PARTICIPATES_GpPW"
"592","PARTICIPATES_GpPW"
"593","PARTICIPATES_GpPW"
"594","PARTICIPATES_GpPW"
"595","PARTICIPATES_GpPW"
"596","PARTICIPATES_GpPW"
"597","PARTICIPATES_GpPW"
"598","PARTICIPATES_GpPW"
"599","PARTICIPATES_GpPW"
"600","PARTICIPATES_GpPW"
"601","PARTICIPATES_GpPW"
"602","PARTICIPATES_GpPW"
"603","PARTICIPATES_GpPW"
"604","PARTICIPATES_GpPW"
"605","PARTICIPATES_GpPW"
"606","PARTICIPATES_GpPW"
"607","PARTICIPATES_GpPW"
"608","PARTICIPATES_GpPW"
"609","PARTICIPATES_GpPW"
"610","DOWNREGULATES_CdG"
"611","PARTICIPATES_GpPW"
"612","PARTICIPATES_GpPW"
"613","PARTICIPATES_GpPW"
"614","PARTICIPATES_GpPW"
"615","PARTICIPATES_GpPW"
"616","PARTICIPATES_GpPW"
"617","BINDS_CbG"
"618","BINDS_CbG"
"619","BINDS_CbG"
"620","BINDS_CbG"
"621","BINDS_CbG"
"622","BINDS_CbG"
"623","BINDS_CbG"
"624","BINDS_CbG"
"625","BINDS_CbG"
"626","BINDS_CbG"
"627","BINDS_CbG"
"628","BINDS_CbG"
"629","BINDS_CbG"
"630","BINDS_CbG"
"631","BINDS_CbG"
"632","BINDS_CbG"
"633","BINDS_CbG"
"634","BINDS_CbG"
"635","BINDS_CbG"
"636","BINDS_CbG"
"637","BINDS_CbG"
"638","BINDS_CbG"
"639","BINDS_CbG"
"640","BINDS_CbG"
"641","BINDS_CbG"
"642","BINDS_CbG"
"643","BINDS_CbG"
"644","BINDS_CbG"
"645","BINDS_CbG"
"646","BINDS_CbG"
"647","BINDS_CbG"
"648","BINDS_CbG"
"649","BINDS_CbG"
"650","BINDS_CbG"
"651","BINDS_CbG"
"652","BINDS_CbG"
"653","BINDS_CbG"
"654","BINDS_CbG"
"655","BINDS_CbG"
"656","BINDS_CbG"
"657","BINDS_CbG"
"658","BINDS_CbG"
"659","BINDS_CbG"
"660","BINDS_CbG"
"661","BINDS_CbG"
"662","BINDS_CbG"
"663","BINDS_CbG"
"664","BINDS_CbG"
"665","BINDS_CbG"
"666","BINDS_CbG"
"667","BINDS_CbG"
"668","BINDS_CbG"
"669","BINDS_CbG"
"670","BINDS_CbG"
"671","BINDS_CbG"
"672","BINDS_CbG"
"673","BINDS_CbG"
"674","BINDS_CbG"
"675","BINDS_CbG"
"676","BINDS_CbG"
"677","BINDS_CbG"
"678","BINDS_CbG"
"679","BINDS_CbG"
"680","BINDS_CbG"
"681","BINDS_CbG"
"682","BINDS_CbG"
"683","BINDS_CbG"
"684","BINDS_CbG"
"685","BINDS_CbG"
"686","BINDS_CbG"
"687","BINDS_CbG"
"688","BINDS_CbG"
"689","BINDS_CbG"
"690","BINDS_CbG"
"691","BINDS_CbG"
"692","BINDS_CbG"
"693","BINDS_CbG"
"694","BINDS_CbG"
"695","BINDS_CbG"
"696","BINDS_CbG"
"697","BINDS_CbG"
"698","BINDS_CbG"
